,t,q1,q2,t1,t2
0,0,30,70,27.312,27.344
1,1,30,70,27.344,27.215
2,2,30,70,27.279,27.118
3,3,30,70,27.247,27.054
4,4,30,70,27.247,27.118
5,5,30,70,27.344,27.215
6,6,30,70,27.279,27.312
7,7,30,70,27.312,27.505
8,8,30,70,27.312,27.537
9,9,30,70,27.44,27.763
10,10,30,70,27.344,27.666
11,11,30,70,27.44,27.698
12,12,30,70,27.666,27.634
13,13,30,70,27.634,27.698
14,14,30,70,27.666,27.666
15,15,30,70,27.763,27.666
16,16,30,70,27.924,27.892
17,17,30,70,27.956,28.214
18,18,30,70,28.021,28.343
19,19,30,70,28.278,28.633
