Time,Q1,Q2,T1,T2
0,52,75,25.185,25.346
1,52,75,25.12,25.346
2,52,75,25.12,25.056
3,52,75,25.088,25.41
4,52,75,25.12,25.088
5,52,75,25.185,25.346
6,52,75,25.41,25.475
7,52,75,25.378,25.281
8,52,75,25.41,25.507
9,52,75,25.41,25.281
10,52,75,25.604,25.475
11,52,75,25.732,25.539
12,52,75,25.732,25.668
13,52,75,26.055,25.7
14,52,75,26.022,25.894
15,52,75,26.28,25.894
16,52,75,26.377,25.894
17,52,75,26.603,26.216
18,52,75,26.699,26.184
19,52,75,26.796,26.409
20,52,75,27.021,26.377
21,52,75,27.021,26.409
22,52,75,27.344,26.764
23,52,75,27.344,26.474
24,52,75,27.666,26.957
25,52,75,27.73,26.828
26,52,75,27.988,26.989
27,52,75,28.278,27.376
28,52,75,28.311,27.086
29,52,75,28.568,27.666
30,53,67,28.858,27.795
31,53,67,29.02,27.892
32,53,67,29.277,27.988
33,53,67,29.6,28.343
34,53,67,29.793,28.246
35,53,67,29.922,28.601
36,53,67,30.244,28.794
37,53,67,30.47,28.762
38,53,67,30.599,29.02
39,53,67,30.856,29.116
40,53,67,31.211,29.277
41,53,67,31.533,29.438
42,53,67,31.598,29.729
43,53,67,31.855,29.664
44,53,67,32.146,30.115
45,53,67,32.468,30.019
46,53,67,32.532,30.019
47,53,67,32.79,30.309
48,53,67,33.145,30.566
49,53,67,33.145,30.921
50,53,67,33.467,30.824
51,53,67,33.725,31.05
52,53,67,33.789,31.275
53,53,67,34.111,31.404
54,53,67,34.434,31.211
55,53,67,34.498,31.727
56,53,67,34.756,31.662
57,53,67,35.014,31.92
58,53,67,35.143,32.178
59,53,67,35.368,32.532
60,44,2,35.723,32.274
61,44,2,36.045,32.5
62,44,2,36.045,32.597
63,44,2,36.335,32.822
64,44,2,36.657,32.822
65,44,2,36.722,33.145
66,44,2,37.012,33.112
67,44,2,37.044,33.37
68,44,2,37.334,33.467
69,44,2,37.592,33.467
70,44,2,37.624,33.467
71,44,2,37.979,33.757
72,44,2,38.075,33.789
73,44,2,38.301,33.757
74,44,2,38.301,33.789
75,44,2,38.591,33.95
76,44,2,38.623,34.111
77,44,2,38.945,34.176
78,44,2,38.978,34.079
79,44,2,39.268,34.111
80,44,2,39.3,34.111
81,44,2,39.59,34.111
82,44,2,39.622,34.176
83,44,2,39.912,34.24
84,44,2,39.912,34.369
85,44,2,40.234,34.401
86,44,2,40.234,34.434
87,44,2,40.557,34.401
88,44,2,40.557,34.434
89,44,2,40.75,34.434
90,60,66,40.879,34.53
91,60,66,41.201,34.691
92,60,66,41.233,34.691
93,60,66,41.233,34.595
94,60,66,41.427,34.434
95,60,66,41.523,34.885
96,60,66,41.781,34.627
97,60,66,41.846,34.949
98,60,66,42.071,35.078
99,60,66,42.168,35.014
100,60,66,42.426,34.756
101,60,66,42.49,35.046
102,60,66,42.748,35.078
103,60,66,42.813,35.304
104,60,66,42.845,35.433
105,60,66,43.103,35.433
106,60,66,43.135,35.626
107,60,66,43.457,36.045
108,60,66,43.457,35.497
109,60,66,43.747,35.4
110,60,66,43.779,36.045
111,60,66,44.069,35.69
112,60,66,44.102,36.077
113,60,66,44.392,36.271
114,60,66,44.424,36.238
115,60,66,44.714,36.271
116,60,66,44.746,36.432
117,60,66,45.068,36.625
118,60,66,45.068,36.851
119,60,66,45.391,37.044
