Time,Q1,Q2,T1,T2
0,48,53,23.477,22.896
1,48,53,23.477,22.832
2,48,53,23.444,23.025
3,48,53,23.444,22.735
4,48,53,23.509,23.025
5,48,53,23.509,22.896
6,48,53,23.767,22.8
7,48,53,23.734,23.025
8,48,53,23.767,22.8
9,48,53,23.799,23.154
10,48,53,24.121,23.09
11,48,53,24.121,23.122
12,48,53,24.089,23.348
13,48,53,24.379,23.315
14,48,53,24.443,23.444
15,48,53,24.669,23.541
16,48,53,24.766,23.702
17,48,53,24.862,23.767
18,48,53,25.088,23.896
19,48,53,25.281,23.992
20,48,53,25.41,24.089
21,48,53,25.636,24.089
22,48,53,25.732,24.153
23,48,53,26.055,24.314
24,48,53,26.055,24.218
25,48,53,26.377,24.637
26,48,53,26.474,24.83
27,48,53,26.667,24.411
28,48,53,27.021,24.959
29,48,53,27.021,24.766
30,69,56,27.344,24.798
31,69,56,27.537,25.088
32,69,56,27.634,25.313
33,69,56,27.924,25.217
34,69,56,28.117,25.732
35,69,56,28.311,25.41
36,69,56,28.633,25.732
37,69,56,28.891,25.926
38,69,56,28.923,26.313
39,69,56,29.277,26.345
40,69,56,29.567,26.28
41,69,56,29.89,26.667
42,69,56,29.922,26.731
43,69,56,30.244,26.764
44,69,56,30.566,27.054
45,69,56,30.824,27.021
46,69,56,31.114,27.376
47,69,56,31.275,27.086
48,69,56,31.533,27.537
49,69,56,31.855,27.505
50,69,56,32.178,27.73
51,69,56,32.468,27.892
52,69,56,32.693,28.085
53,69,56,32.854,28.311
54,69,56,33.145,28.182
55,69,56,33.435,28.278
56,69,56,33.757,28.536
57,69,56,34.047,28.633
58,69,56,34.369,28.858
59,69,56,34.756,29.084
60,59,29,35.014,29.116
61,59,29,35.175,29.052
62,59,29,35.368,29.374
63,59,29,35.723,29.471
64,59,29,36.045,29.696
65,59,29,36.335,29.6
66,59,29,36.689,29.986
67,59,29,37.012,30.115
68,59,29,37.237,30.051
69,59,29,37.334,30.244
70,59,29,37.656,30.438
71,59,29,38.011,30.566
72,59,29,38.301,30.631
73,59,29,38.559,30.856
74,59,29,38.623,31.082
75,59,29,38.945,31.018
76,59,29,39.203,31.533
77,59,29,39.268,31.211
78,59,29,39.59,31.308
79,59,29,39.622,31.598
80,59,29,39.912,31.727
81,59,29,40.202,31.662
82,59,29,40.234,31.92
83,59,29,40.557,31.952
84,59,29,40.879,32.049
85,59,29,41.04,32.113
86,59,29,41.201,32.21
87,59,29,41.523,32.403
88,59,29,41.685,32.5
89,59,29,41.846,32.436
90,2,30,42.168,32.5
91,2,30,42.49,32.79
92,2,30,42.522,32.822
93,2,30,42.813,32.919
94,2,30,43.135,33.016
95,2,30,43.135,32.951
96,2,30,43.425,33.241
97,2,30,43.457,33.145
98,2,30,43.554,33.241
99,2,30,43.779,33.563
100,2,30,43.779,33.563
101,2,30,43.779,33.66
102,2,30,43.812,33.467
103,2,30,44.037,33.789
104,2,30,44.037,33.982
105,2,30,44.102,33.982
106,2,30,44.005,34.015
107,2,30,43.973,34.208
108,2,30,44.037,34.208
109,2,30,44.005,34.111
110,2,30,43.973,34.305
111,2,30,43.876,34.434
112,2,30,43.812,34.595
113,2,30,43.779,34.53
114,2,30,43.779,34.627
115,2,30,43.747,34.691
116,2,30,43.779,34.917
117,2,30,43.779,34.949
118,2,30,43.521,34.756
119,2,30,43.521,34.756
