Time,H1,T1
0,0.0,23.477
1,0.0,23.477
2,0.0,23.477
3,0.0,23.477
4,0.0,23.477
5,0.0,23.477
6,0.0,23.477
7,0.0,23.477
8,0.0,23.477
9,0.0,23.477
10,80.0,23.477
11,80.0,23.477
12,80.0,23.477
13,80.0,23.477
14,80.0,23.541
15,80.0,23.799
16,80.0,23.799
17,80.0,24.089
18,80.0,24.121
19,80.0,24.379
20,80.0,24.443
21,80.0,24.766
22,80.0,24.959
23,80.0,25.088
24,80.0,25.41
25,80.0,25.732
26,80.0,26.055
27,80.0,26.377
28,80.0,26.667
29,80.0,26.925
30,80.0,27.279
31,80.0,27.408
32,80.0,27.763
33,80.0,28.149
34,80.0,28.375
35,80.0,28.794
36,80.0,29.181
37,80.0,29.535
38,80.0,29.922
39,80.0,30.244
40,80.0,30.566
41,80.0,30.889
42,80.0,31.211
43,80.0,31.533
44,80.0,31.855
45,80.0,32.307
46,80.0,32.661
47,80.0,33.112
48,80.0,33.338
49,80.0,33.757
50,80.0,34.111
51,80.0,34.434
52,80.0,34.756
53,80.0,35.078
54,80.0,35.4
55,80.0,35.658
56,80.0,36.013
57,80.0,36.367
58,80.0,36.689
59,80.0,37.012
60,80.0,37.334
61,80.0,37.656
62,80.0,37.979
63,80.0,38.301
64,80.0,38.623
65,80.0,38.945
66,80.0,39.268
67,80.0,39.59
68,80.0,39.912
69,80.0,40.234
70,80.0,40.557
71,80.0,40.879
72,80.0,41.201
73,80.0,41.523
74,80.0,41.749
75,80.0,42.007
76,80.0,42.168
77,80.0,42.522
78,80.0,42.813
79,80.0,43.135
80,80.0,43.457
81,80.0,43.812
82,80.0,44.102
83,80.0,44.392
84,80.0,44.521
85,80.0,44.746
86,80.0,44.875
87,80.0,45.101
88,80.0,45.391
89,80.0,45.713
90,80.0,46.003
91,80.0,46.261
92,80.0,46.357
93,80.0,46.68
94,80.0,47.002
95,80.0,47.324
96,80.0,47.582
97,80.0,47.646
98,80.0,47.969
99,80.0,48.291
100,80.0,48.549
101,80.0,48.742
102,80.0,48.936
103,80.0,49.258
104,80.0,49.58
105,80.0,49.902
106,80.0,49.999
107,80.0,50.225
108,80.0,50.515
109,80.0,50.611
110,80.0,50.869
111,80.0,50.966
112,80.0,51.191
113,80.0,51.191
114,80.0,51.514
115,80.0,51.804
116,80.0,51.836
117,80.0,52.126
118,80.0,52.19
119,80.0,52.48
120,80.0,52.803
121,80.0,52.996
122,80.0,53.125
123,80.0,53.351
124,80.0,53.447
125,80.0,53.705
126,80.0,53.77
127,80.0,54.027
128,80.0,54.092
129,80.0,54.414
130,80.0,54.414
131,80.0,54.736
132,80.0,54.994
133,80.0,55.059
134,80.0,55.316
135,80.0,55.381
136,80.0,55.671
137,80.0,55.703
138,80.0,56.025
139,80.0,56.025
140,80.0,56.348
141,80.0,56.348
142,80.0,56.67
143,80.0,56.702
144,80.0,56.992
145,80.0,57.057
146,80.0,57.282
147,80.0,57.314
148,80.0,57.314
149,80.0,57.637
150,80.0,57.637
151,80.0,57.895
152,80.0,57.959
153,80.0,57.991
154,80.0,58.281
155,80.0,58.281
156,80.0,58.41
157,80.0,58.604
158,80.0,58.604
159,80.0,58.926
160,80.0,58.926
161,80.0,59.248
162,80.0,59.248
163,80.0,59.57
164,80.0,59.603
165,80.0,59.731
166,80.0,59.893
167,80.0,59.893
168,80.0,60.183
169,80.0,60.215
170,80.0,60.44
171,80.0,60.537
172,80.0,60.569
173,80.0,60.602
174,80.0,60.859
175,80.0,60.859
176,80.0,60.859
177,80.0,61.182
178,80.0,61.182
179,80.0,61.182
180,80.0,61.504
181,80.0,61.504
182,80.0,61.633
183,80.0,61.826
184,80.0,61.858
185,80.0,62.148
186,80.0,62.148
187,80.0,62.31
188,80.0,62.471
189,80.0,62.471
190,80.0,62.761
191,80.0,62.793
192,80.0,63.019
193,80.0,63.115
194,80.0,63.244
195,80.0,63.438
196,80.0,63.438
197,80.0,63.663
198,80.0,63.76
199,80.0,63.76
200,20.0,63.985
201,20.0,64.082
202,20.0,64.082
203,20.0,64.082
204,20.0,64.179
205,20.0,64.179
206,20.0,64.146
207,20.0,64.082
208,20.0,64.114
209,20.0,64.082
210,20.0,64.082
211,20.0,64.082
212,20.0,63.76
213,20.0,63.76
214,20.0,63.76
215,20.0,63.47
216,20.0,63.438
217,20.0,63.438
218,20.0,63.147
219,20.0,63.115
220,20.0,63.115
221,20.0,62.825
222,20.0,62.793
223,20.0,62.729
224,20.0,62.471
225,20.0,62.342
226,20.0,62.148
227,20.0,62.084
228,20.0,61.826
229,20.0,61.762
230,20.0,61.504
231,20.0,61.182
232,20.0,61.182
233,20.0,60.859
234,20.0,60.569
235,20.0,60.537
236,20.0,60.215
237,20.0,60.054
238,20.0,59.893
239,20.0,59.57
240,20.0,59.248
241,20.0,59.248
242,20.0,58.926
243,20.0,58.604
244,20.0,58.604
245,20.0,58.442
246,20.0,58.281
247,20.0,58.281
248,20.0,57.959
249,20.0,57.701
250,20.0,57.637
251,20.0,57.54
252,20.0,57.314
253,20.0,57.314
254,20.0,56.992
255,20.0,56.992
256,20.0,56.734
257,20.0,56.67
258,20.0,56.348
259,20.0,56.348
260,20.0,56.025
261,20.0,56.025
262,20.0,55.768
263,20.0,55.703
264,20.0,55.671
265,20.0,55.381
266,20.0,55.381
267,20.0,55.059
268,20.0,55.026
269,20.0,54.736
270,20.0,54.736
271,20.0,54.414
272,20.0,54.414
273,20.0,54.092
274,20.0,54.092
275,20.0,53.77
276,20.0,53.77
