Q1,Q2,T1,T2,Tsp1,Tsp2
0.0,0.0,24.766,24.121,24.766,24.121
0.0,0.0,24.766,24.121,24.766,24.121
18.239618868,20.958152006,24.766,24.121,40.0,46.0
33.269663379,38.944034785,24.766,24.121,40.0,46.0
45.708661745,54.095275258,24.766,24.25,40.0,46.0
56.025984288,66.77750044,24.798,24.25,40.0,46.0
64.445449266,77.107393181,24.959,24.443,40.0,46.0
71.393729774,85.369692034,25.088,24.411,40.0,46.0
77.212756214,91.671973402,25.12,24.54,40.0,46.0
81.86625411,96.141830988,25.378,24.733,40.0,46.0
85.562949273,98.896895438,25.7,24.604,40.0,46.0
88.377748142,100.0,26.055,24.798,40.0,46.0
90.450592401,100.0,26.377,25.249,40.0,46.0
91.934809408,100.0,26.699,25.571,40.0,46.0
92.734604148,100.0,27.215,25.861,40.0,46.0
93.163722202,100.0,27.634,25.636,40.0,46.0
92.885896743,100.0,28.278,26.248,40.0,46.0
92.281473151,100.0,28.697,26.699,40.0,46.0
91.222839637,100.0,29.342,26.86,40.0,46.0
89.80435155,100.0,29.954,27.086,40.0,46.0
87.98778865,100.0,30.566,27.795,40.0,46.0
85.918017085,100.0,31.243,27.73,40.0,46.0
83.436383106,100.0,31.952,28.504,40.0,46.0
80.76841521,100.0,32.661,28.439,40.0,46.0
77.841035302,100.0,33.338,29.052,40.0,46.0
74.748164801,100.0,34.015,29.374,40.0,46.0
71.418203001,100.0,34.691,30.18,40.0,46.0
67.971367648,100.0,35.368,30.534,40.0,46.0
64.464021358,100.0,36.045,30.663,40.0,46.0
61.035508283,100.0,36.561,30.953,40.0,46.0
57.54650198,100.0,37.108,31.694,40.0,46.0
54.06113723,100.0,37.688,31.952,40.0,46.0
50.400581554,100.0,38.301,32.919,40.0,46.0
46.693878991,100.0,38.945,33.177,40.0,46.0
43.003957385,100.0,39.493,33.628,40.0,46.0
39.484402457,100.0,39.848,34.272,40.0,46.0
35.90085581,100.0,40.492,34.401,40.0,46.0
32.444183299,100.0,40.879,34.949,40.0,46.0
29.022709963,100.0,41.298,35.658,40.0,46.0
25.671790549,100.0,41.781,35.787,40.0,46.0
22.386630856,100.0,42.168,36.367,40.0,46.0
19.273952598,100.0,42.49,36.657,40.0,46.0
16.349522118,100.0,42.813,36.689,40.0,46.0
13.462125732,100.0,43.07,37.527,40.0,46.0
10.682122184,100.0,43.36,37.85,40.0,46.0
8.1488891937,100.0,43.457,38.591,40.0,46.0
5.7222938206,100.0,43.779,39.203,40.0,46.0
3.6208542562,100.0,44.037,39.396,40.0,46.0
1.9871249167,100.0,44.102,39.687,40.0,46.0
0.82576979358,100.0,44.134,40.363,40.0,46.0
0.13164865032,99.568627165,44.424,40.814,40.0,46.0
0.0,99.196072892,44.424,40.847,40.0,46.0
0.0,98.32508155,44.424,41.33,40.0,46.0
0.0,96.765680449,44.424,42.007,40.0,46.0
0.0,95.375429649,44.424,42.039,40.0,46.0
0.0,93.508667185,44.424,42.587,40.0,46.0
0.0,91.997279231,44.424,42.49,40.0,46.0
0.0,89.704378735,44.424,43.296,40.0,46.0
0.0,87.530619596,44.424,43.425,40.0,46.0
0.0,85.022296003,44.23,43.94,40.0,46.0
0.0,83.102892791,44.102,43.715,40.0,46.0
0.0,80.436718242,44.102,44.521,40.0,46.0
0.0,77.959963455,44.102,44.617,40.0,46.0
0.0,75.131140475,43.908,45.165,40.0,46.0
0.0,72.798215997,43.779,45.036,40.0,46.0
0.0,70.105679885,43.779,45.552,40.0,46.0
0.0,67.321318059,43.779,45.874,40.0,46.0
0.0,64.925078265,43.779,45.81,40.0,46.0
0.0,62.308851136,43.618,46.229,40.0,46.0
0.0,59.805443072,43.457,46.39,40.0,46.0
0.0,57.105340778,43.457,46.776,40.0,46.0
0.0,54.858651176,43.135,46.68,40.0,46.0
0.0,52.227656526,43.135,47.195,40.0,46.0
0.0,50.110485123,43.135,47.002,40.0,46.0
0.0,47.594926094,43.103,47.518,40.0,46.0
0.0,45.264574278,42.813,47.614,40.0,46.0
0.0,43.45260718,42.813,47.389,40.0,46.0
0.0,41.357746585,42.813,47.775,40.0,46.0
0.0,39.545167377,42.49,47.743,40.0,46.0
0.0,37.79905583,42.49,47.84,40.0,46.0
0.0,36.18950972,42.394,47.872,40.0,46.0
0.0,34.570239792,42.168,48.001,40.0,46.0
0.0,33.187856987,42.168,47.937,40.0,46.0
0.0,31.702623328,42.136,48.13,40.0,46.0
0.28310294707,30.559353459,41.846,47.937,40.0,46.0
0.51640651455,29.56146723,41.846,47.904,40.0,46.0
1.0563269268,28.807581442,41.523,47.743,40.0,46.0
1.6940841089,27.972259316,41.33,47.84,40.0,46.0
2.3579932263,27.22353202,41.201,47.808,40.0,46.0
2.9376446769,26.486783065,41.169,47.84,40.0,46.0
3.7216182078,25.768290721,40.879,47.84,40.0,46.0
4.3931086465,25.489493999,40.879,47.518,40.0,46.0
5.0942759874,25.436631594,40.75,47.324,40.0,46.0
5.8577918813,25.107470989,40.557,47.518,40.0,46.0
6.5215321252,25.373471982,40.557,47.034,40.0,46.0
7.0673898105,25.669537162,40.557,46.97,40.0,46.0
