Time,Q1,Q2,T1,T2
0.0,0.0,0.0,22.832,22.188
2.0,0.0,0.0,22.832,22.188
4.0,0.0,0.0,22.832,22.188
6.0,0.0,0.0,22.832,22.188
8.0,0.0,0.0,22.832,22.188
10.0,0.0,0.0,22.832,22.188
12.0,0.0,0.0,22.832,22.188
14.0,0.0,0.0,22.832,22.188
16.0,0.0,0.0,22.832,22.188
18.0,0.0,0.0,22.832,22.188
20.0,80.0,0.0,20.544,22.123
22.0,80.0,0.0,22.832,22.123
24.0,80.0,0.0,22.8,21.897
26.0,80.0,0.0,23.025,22.155
28.0,80.0,0.0,23.283,22.606
30.0,80.0,0.0,23.638,22.155
32.0,80.0,0.0,23.767,22.155
34.0,80.0,0.0,24.089,22.155
36.0,80.0,0.0,24.443,22.155
38.0,80.0,0.0,24.733,22.123
40.0,80.0,0.0,25.313,22.155
42.0,80.0,0.0,25.732,22.188
44.0,80.0,0.0,26.345,22.188
46.0,80.0,0.0,26.828,22.123
48.0,80.0,0.0,27.344,22.188
50.0,80.0,0.0,27.988,22.703
52.0,80.0,0.0,28.536,22.284
54.0,80.0,0.0,29.084,22.413
56.0,80.0,0.0,29.6,22.413
58.0,80.0,0.0,30.18,22.349
60.0,80.0,0.0,30.856,22.51
62.0,80.0,0.0,31.211,22.445
64.0,80.0,0.0,31.855,22.542
66.0,80.0,0.0,32.5,22.639
68.0,80.0,0.0,33.048,22.703
70.0,80.0,0.0,33.531,22.8
72.0,80.0,0.0,34.111,22.832
74.0,80.0,0.0,34.756,22.929
76.0,80.0,0.0,35.4,23.058
78.0,80.0,0.0,36.013,23.283
80.0,80.0,0.0,36.657,23.348
82.0,80.0,0.0,37.334,23.831
84.0,80.0,0.0,37.946,23.412
86.0,80.0,0.0,38.591,23.444
88.0,80.0,0.0,39.042,23.702
90.0,80.0,0.0,39.59,23.767
92.0,80.0,0.0,40.234,23.799
94.0,80.0,0.0,40.879,24.089
96.0,80.0,0.0,41.233,24.121
98.0,80.0,0.0,41.846,24.282
100.0,80.0,35.0,42.458,24.282
102.0,80.0,35.0,42.813,24.476
104.0,80.0,35.0,43.457,24.83
106.0,80.0,35.0,43.747,24.798
108.0,80.0,35.0,44.392,25.056
110.0,80.0,35.0,44.746,25.249
112.0,80.0,35.0,45.391,25.571
114.0,80.0,35.0,46.067,25.507
116.0,80.0,35.0,46.422,25.797
118.0,80.0,35.0,47.002,25.99
120.0,80.0,35.0,47.324,26.409
122.0,80.0,35.0,47.969,26.441
124.0,80.0,35.0,48.355,26.893
126.0,80.0,35.0,48.613,27.183
128.0,80.0,35.0,49.0,27.44
130.0,80.0,35.0,49.516,27.505
132.0,80.0,35.0,49.935,27.859
134.0,80.0,35.0,50.225,28.021
136.0,80.0,35.0,50.547,28.439
138.0,80.0,35.0,50.998,28.697
140.0,80.0,35.0,51.514,28.794
142.0,80.0,35.0,51.836,29.148
144.0,80.0,35.0,52.158,29.729
146.0,80.0,35.0,52.513,29.729
148.0,80.0,35.0,52.932,29.954
150.0,80.0,35.0,53.383,30.309
152.0,80.0,35.0,53.77,30.341
154.0,80.0,35.0,54.092,30.76
156.0,80.0,35.0,54.414,30.889
158.0,80.0,35.0,54.769,31.146
160.0,80.0,35.0,55.091,31.598
